  Fermat    Miller  Strassen Erastotene
188 0.008042 0.008578 0.009764
189 0.008094 0.009406 0.008205
190 0.007931 0.011110 0.008065
191 0.007992 0.008076 0.008027
192 0.008120 0.008846 0.010217
193 0.008421 0.011911 0.008422
194 0.008295 0.008301 0.008352
195 0.008160 0.007860 0.008248
196 0.008170 0.008348 0.008253
197 0.008160 0.007875 0.008257
198 0.008382 0.007859 0.008511
199 0.008157 0.008320 0.008232
200 0.008195 0.008126 0.008388
201 0.008269 0.008030 0.009724
202 0.008156 0.007914 0.008265
203 0.008155 0.007871 0.008272
204 0.008127 0.007869 0.008255
205 0.008163 0.008708 0.008370
206 0.008123 0.010180 0.008234
207 0.008174 0.007843 0.008260
208 0.008156 0.007840 0.008291
209 0.008135 0.007842 0.008301
210 0.008235 0.010710 0.008303
211 0.008197 0.007871 0.008322
212 0.008211 0.009018 0.008358
213 0.008218 0.007878 0.008338
214 0.008221 0.007883 0.008337
215 0.008234 0.007906 0.008369
216 0.008232 0.007899 0.008396
217 0.008234 0.012424 0.008379
218 0.008243 0.007909 0.008364
219 0.008252 0.009240 0.008402
220 0.008298 0.008894 0.008373
221 0.008267 0.010235 0.008392
222 0.008286 0.009791 0.008364
223 0.008284 0.008278 0.008369
224 0.008308 0.007983 0.008444
225 0.008335 0.008000 0.008444
226 0.008318 0.008005 0.008458
227 0.008328 0.007991 0.008455
228 0.008335 0.007967 0.008469
229 0.008334 0.009368 0.008451
230 0.008327 0.007984 0.008457
231 0.008345 0.009061 0.008435
232 0.008366 0.008513 0.008441
233 0.008360 0.007984 0.008500
234 0.008343 0.007984 0.008512
235 0.008343 0.010119 0.008477
236 0.008348 0.009368 0.008465
237 0.008398 0.009426 0.008485
238 0.008363 0.007992 0.008493
239 0.008375 0.008551 0.008503
240 0.008368 0.008021 0.008517
241 0.008377 0.008309 0.008513
242 0.008382 0.008538 0.008482
243 0.008412 0.008013 0.008513
244 0.008393 0.008248 0.008541
245 0.008398 0.008043 0.008595
246 0.008446 0.010085 0.008642
247 0.008465 0.008082 0.008604
248 0.008395 0.010168 0.008560
249 0.008439 0.008039 0.008634
250 0.008447 0.009629 0.008599
251 0.008559 0.012527 0.008618
252 0.008557 0.008839 0.008613
253 0.008488 0.008111 0.008657
254 0.008512 0.008102 0.008657
255 0.008435 0.008043 0.008595
256 0.008671 0.009846 0.008773
257 0.008738 0.008340 0.008885
258 0.008697 0.010000 0.008834
259 0.008687 0.008299 0.008858
260 0.008691 0.008278 0.008841
261 0.008672 0.009659 0.008812
262 0.008677 0.008266 0.008836
263 0.008648 0.009680 0.008794
264 0.008669 0.008261 0.008844
265 0.008645 0.008929 0.008828
266 0.008667 0.009055 0.008861
267 0.008693 0.008982 0.008876
268 0.008688 0.008271 0.008849
269 0.008720 0.008774 0.008857
270 0.008698 0.008294 0.008875
271 0.008711 0.008274 0.008874
272 0.008717 0.009556 0.008888
273 0.008676 0.008790 0.008871
274 0.008727 0.008304 0.014367
275 0.009033 0.008363 0.008928
276 0.008742 0.009144 0.008951
277 0.008735 0.009129 0.008924
278 0.008771 0.009199 0.008930
279 0.008733 0.009552 0.008912
280 0.008761 0.008952 0.008965
281 0.008809 0.009031 0.008953
282 0.008811 0.008352 0.009035
283 0.008817 0.008364 0.008999
284 0.008870 0.008433 0.009088
285 0.008892 0.011392 0.009317
286 0.010662 0.009159 0.009308
287 0.009551 0.008515 0.011394
288 0.011158 0.008509 0.011193
289 0.008978 0.009082 0.009088
290 0.008958 0.010060 0.009093
291 0.009241 0.008452 0.009285
292 0.009649 0.009625 0.009328
293 0.009052 0.009144 0.009184
294 0.008956 0.008435 0.009162
295 0.008898 0.010554 0.009119
296 0.009782 0.009765 0.009798
297 0.009094 0.008701 0.010718
298 0.008966 0.008467 0.009174
299 0.008971 0.008479 0.009123
300 0.008988 0.009158 0.009161
301 0.009001 0.008466 0.009137
302 0.008936 0.008459 0.009137
303 0.008971 0.009124 0.009225
304 0.009014 0.010007 0.009234
305 0.009014 0.010740 0.010326
306 0.011148 0.009544 0.010991
307 0.009020 0.008504 0.009207
308 0.009028 0.008474 0.009364
309 0.009883 0.008598 0.009570
310 0.009074 0.008829 0.009304
311 0.009750 0.008685 0.009882
312 0.009251 0.009079 0.009393
313 0.011406 0.009648 0.009407
314 0.009235 0.009707 0.009551
315 0.009059 0.011883 0.009301
316 0.009327 0.008603 0.009390
317 0.009107 0.010308 0.009321
318 0.009098 0.009423 0.009338
319 0.008992 0.010442 0.009238
320 0.009299 0.008805 0.009546
321 0.009367 0.009853 0.009642
322 0.009388 0.008900 0.009658
323 0.009392 0.013522 0.009579
324 0.009386 0.009685 0.009649
325 0.009353 0.011186 0.009583
326 0.009390 0.011477 0.009607
327 0.009337 0.010976 0.009562
328 0.009376 0.008787 0.009636
329 0.009337 0.008802 0.009561
330 0.009370 0.009413 0.009562
331 0.009372 0.008797 0.009588
332 0.009396 0.011267 0.009582
333 0.009369 0.009721 0.009572
334 0.009403 0.008812 0.009581
335 0.009382 0.009719 0.009647
336 0.009391 0.012208 0.009611
337 0.009388 0.008801 0.009594
338 0.009405 0.012309 0.009659
339 0.009435 0.010644 0.009665
340 0.009420 0.008856 0.009623
341 0.009499 0.009574 0.009693
342 0.009459 0.008839 0.009683
343 0.009461 0.015344 0.009752
344 0.009488 0.008905 0.009910
345 0.009492 0.008884 0.009734
346 0.009503 0.008937 0.009777
347 0.009488 0.011300 0.009726
348 0.009657 0.013263 0.009746
349 0.009478 0.011711 0.009779
350 0.009529 0.008885 0.009719
351 0.009516 0.008951 0.009796
352 0.009599 0.008913 0.009784
353 0.009611 0.009914 0.009813
354 0.009567 0.009712 0.009820
355 0.009617 0.009839 0.009825
356 0.009605 0.008944 0.009819
357 0.009594 0.008948 0.009839
358 0.009583 0.014658 0.009829
359 0.009561 0.008942 0.009829
360 0.009573 0.011592 0.009855
361 0.009612 0.011646 0.009860
362 0.009668 0.016672 0.009847
363 0.009674 0.010276 0.009868
364 0.009653 0.009040 0.009895
365 0.009652 0.009027 0.009913
366 0.009689 0.009815 0.009925
367 0.009658 0.009945 0.009913
368 0.009700 0.009030 0.009965
369 0.009680 0.017037 0.009928
370 0.009711 0.009740 0.009931
371 0.009711 0.011576 0.010007
372 0.009690 0.009064 0.010004
373 0.009765 0.011257 0.010046
374 0.009761 0.015407 0.010035
375 0.009736 0.012404 0.010023
376 0.009765 0.009144 0.010060
377 0.009752 0.009152 0.010062
378 0.009776 0.011809 0.010074
379 0.009803 0.009158 0.010100
380 0.009780 0.009181 0.010114
381 0.009844 0.009179 0.010133
382 0.009821 0.009194 0.010082
383 0.009645 0.012903 0.010019
384 0.010075 0.009412 0.010406
385 0.010165 0.010017 0.010502
386 0.010183 0.009465 0.010531
387 0.010149 0.011076 0.010481
388 0.010111 0.010253 0.010461
389 0.010122 0.011956 0.010473
390 0.010081 0.009398 0.010426
391 0.010159 0.010581 0.010471
392 0.010139 0.009441 0.010422
393 0.010140 0.010395 0.010444
394 0.010133 0.016710 0.010478
395 0.010111 0.010952 0.010442
396 0.010171 0.009457 0.010504
397 0.010151 0.009433 0.010506
398 0.010168 0.009469 0.010502
399 0.010173 0.009438 0.010546
400 0.010158 0.010896 0.010550
401 0.010228 0.009481 0.010687
402 0.010323 0.012705 0.010534
403 0.010223 0.010822 0.012633
404 0.010297 0.009500 0.010582
405 0.010212 0.009494 0.010572
406 0.010206 0.021953 0.010583
407 0.010242 0.010774 0.010577
408 0.010233 0.011047 0.010599
409 0.010235 0.010778 0.010601
410 0.010226 0.016400 0.010585
411 0.010273 0.009531 0.010577
412 0.010231 0.009537 0.010603
413 0.010271 0.009926 0.010635
414 0.010336 0.009529 0.010599
415 0.010312 0.009605 0.010593
416 0.010341 0.009595 0.010639
417 0.010382 0.011392 0.010729
418 0.010396 0.009607 0.011399
419 0.010408 0.009609 0.010718
420 0.010386 0.010298 0.010696
421 0.010392 0.013172 0.010667
422 0.010524 0.009672 0.010745
423 0.010410 0.011060 0.010743
424 0.010435 0.009650 0.010740
425 0.010437 0.013091 0.010761
426 0.010514 0.009665 0.010768
427 0.010450 0.010841 0.010755
428 0.010472 0.013067 0.010799
429 0.010465 0.009642 0.010794
430 0.010453 0.012952 0.010812
431 0.010463 0.010795 0.010811
432 0.010458 0.011225 0.010820
433 0.010476 0.009705 0.010843
434 0.010492 0.009769 0.010858
435 0.010541 0.015899 0.010848
436 0.010523 0.009731 0.010878
437 0.010537 0.011199 0.010873
438 0.010544 0.012994 0.010873
439 0.010552 0.011016 0.010901
440 0.010696 0.009872 0.011057
441 0.011871 0.010302 0.011452
442 0.011190 0.011095 0.011487
443 0.010863 0.011535 0.011238
444 0.011036 0.010478 0.011335
445 0.013416 0.013785 0.010997
446 0.010614 0.018197 0.010965
447 0.010438 0.009586 0.010806
448 0.012248 0.010751 0.012267
449 0.011092 0.010215 0.011371
450 0.011196 0.014148 0.015429
451 0.011415 0.010419 0.012304
452 0.011426 0.012662 0.011394
453 0.010927 0.013207 0.011349
454 0.010945 0.010084 0.011371
455 0.010950 0.013497 0.011298
456 0.010880 0.011916 0.011213
457 0.011120 0.010461 0.012334
458 0.011905 0.010805 0.012177
459 0.012571 0.013792 0.012417
460 0.010920 0.013408 0.011299
461 0.010905 0.022089 0.011257
462 0.010935 0.010120 0.011291
463 0.010929 0.017092 0.011329
464 0.010942 0.013854 0.011374
465 0.010971 0.012286 0.011359
466 0.010983 0.010129 0.011381
467 0.010981 0.013635 0.011380
468 0.010992 0.011350 0.011408
469 0.011015 0.010130 0.011427
470 0.011123 0.010145 0.011425
471 0.010987 0.010137 0.011454
472 0.011065 0.011307 0.011430
473 0.011018 0.011725 0.011415
474 0.011020 0.011750 0.011440
475 0.011049 0.010171 0.011462
476 0.011043 0.010235 0.011504
477 0.011053 0.010184 0.011470
478 0.011057 0.010181 0.011500
479 0.011069 0.011561 0.011493
480 0.011042 0.011929 0.011524
481 0.011162 0.023363 0.011534
482 0.011161 0.010236 0.011542
483 0.011114 0.014727 0.011538
484 0.011126 0.011537 0.011550
485 0.011134 0.011514 0.011533
486 0.011171 0.010251 0.011558
487 0.011174 0.010286 0.011609
488 0.011158 0.014470 0.011590
489 0.011221 0.010251 0.011579
490 0.011229 0.010374 0.011651
491 0.011181 0.011977 0.011700
492 0.011207 0.012014 0.011662
493 0.011215 0.011836 0.011610
494 0.011228 0.010340 0.011655
495 0.011229 0.010315 0.011659
496 0.011229 0.010401 0.011668
497 0.011247 0.010332 0.011710
498 0.011257 0.010330 0.011736
